Item,Unit,Quantity,Price,Price/Unit,Total Price,Link
PJBoard v2 PCB set,5,1,6.95,1.39,6.95,JLCPCB Quote
nice!view 160x68 memory display,1,2,20.33,20.33,40.66,https://typeractive.xyz/products/nice-view
Kailh Choc v1 switch,90,1,31.94,0.3548888889,31.94,https://www.aliexpress.com/item/1005011812362132.html?spm=a2g0o.productlist.main.2.11d0N6uwN6uw5k&algo_pvid=9ed0a386-3266-4c39-8d2f-6c2cb22aed71&algo_exp_id=9ed0a386-3266-4c39-8d2f-6c2cb22aed71-1&pdp_ext_f=%7B%22order%22%3A%22108%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%2110.16%212.20%21%21%217.21%211.56%21%402101de2517874504543956489e1018%2112000056648742495%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afae6f6dc%3Bm03_new_user%3A-29895%3BpisId%3A5000000210902379&curPageLogUid=m53IqVLOjw1D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011812362132%7C_p_origin_prod%3A
Lithium Battery 110mAh,2,1,6.31,3.155,6.31,https://www.aliexpress.com/item/4000174322578.html?spm=a2g0o.productlist.main.2.7470FiFXFiFXXU&algo_pvid=c9673cd7-fb7b-4345-874a-76b04f1a25a1&algo_exp_id=c9673cd7-fb7b-4345-874a-76b04f1a25a1-1&pdp_ext_f=%7B%22order%22%3A%2223%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%218.69%218.69%21%21%216.17%216.17%21%402101e7a317874491816898790e0e1a%2112000039874499945%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afae6f6dc%3Bm03_new_user%3A-29895&curPageLogUid=zj1aqsJUZ9RE&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4000174322578%7C_p_origin_prod%3A
Kailh Choc hotswap socket,90,1,11.24,0.1248888889,11.24,https://www.aliexpress.com/item/1005009312876316.html?spm=a2g0o.productlist.main.3.30355B0v5B0vcZ&algo_pvid=2c33a3cc-1123-468c-a807-dc9ec76f0576&algo_exp_id=2c33a3cc-1123-468c-a807-dc9ec76f0576-1&pdp_ext_f=%7B%22order%22%3A%2261%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%216.57%216.56%21%21%214.66%214.65%21%402103119c17874504009044049e0d27%2112000048712098102%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afae6f6dc%3Bm03_new_user%3A-29895%3BpisId%3A5000000211455027&curPageLogUid=mK4gAzXpcFOU&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009312876316%7C_p_origin_prod%3A
Power Switch,2,1,2.18,1.09,2.18,https://typeractive.xyz/products/power-switch
Reset Button,2,1,2.18,1.09,2.18,https://typeractive.xyz/products/reset-button
1N4148W Diodes,100,1,5.04,0.0504,5.04,https://www.aliexpress.com/item/1005007160563285.html?spm=a2g0o.productlist.main.1.54d3B29dB29dis&algo_pvid=8b7211c3-b3b8-48c9-89ab-f84a837876f6&algo_exp_id=8b7211c3-b3b8-48c9-89ab-f84a837876f6-0&pdp_ext_f=%7B%22order%22%3A%222025%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%216.94%211.39%21%21%2133.10%216.64%21%402101ea8f17874493145724009e0e7c%2112000039653324546%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afae6f6dc%3Bm03_new_user%3A-29895%3BpisId%3A5000000210902379&curPageLogUid=aw65lLEcrXl7&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007160563285%7C_p_origin_prod%3A
SuperMini nRF52840 controller,1,2,3.53,3.53,7.06,https://www.aliexpress.com/item/1005011910385646.html?spm=a2g0o.productlist.main.15.43584cf7UMi47O&algo_pvid=bad47b17-65eb-4789-b615-3fc0d9155d47&algo_exp_id=bad47b17-65eb-4789-b615-3fc0d9155d47-14&pdp_ext_f=%7B%22order%22%3A%2247%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%2125.53%2125.52%21%21%2118.12%2118.11%21%402101de2517874476602303476e0c59%2112000056996992639%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afae6f6dc%3Bm03_new_user%3A-29895%3BpisId%3A5000000211455027&curPageLogUid=hqze9M0PXulI&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011910385646%7C_p_origin_prod%3A
Choc 1u Keycap,5,9,3.63,0.726,32.67,https://typeractive.xyz/products/mbk-keycaps?variant=45419753111783
Choc 1.5u Keycap,2,1,2.18,1.09,2.18,https://typeractive.xyz/products/mbk-keycaps?variant=45419753242855
M2x3 screws,100,1,0.76,0.0076,0.76,https://www.aliexpress.com/item/1005007204605184.html?spm=a2g0o.productlist.main.1.1d2bvNqzvNqzus&algo_pvid=1611da85-80f3-4a2c-9726-3fde2f6326b2&algo_exp_id=1611da85-80f3-4a2c-9726-3fde2f6326b2-3&pdp_ext_f=%7B%22order%22%3A%22266%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%211.04%211.04%21%21%214.94%214.94%21%40210328df17874506342048517e0f2b%2112000039796996073%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afae6f6dc%3Bm03_new_user%3A-29895&curPageLogUid=I0gzoz6lfaRT&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007204605184%7C_p_origin_prod%3A
M2x4 screws,100,1,0.76,0.0076,0.76,https://www.aliexpress.com/item/1005007204605184.html?spm=a2g0o.productlist.main.1.1d2bvNqzvNqzus&algo_pvid=1611da85-80f3-4a2c-9726-3fde2f6326b2&algo_exp_id=1611da85-80f3-4a2c-9726-3fde2f6326b2-3&pdp_ext_f=%7B%22order%22%3A%22266%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%211.04%211.04%21%21%214.94%214.94%21%40210328df17874506342048517e0f2b%2112000039796996073%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afae6f6dc%3Bm03_new_user%3A-29895&curPageLogUid=I0gzoz6lfaRT&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007204605184%7C_p_origin_prod%3A
M2x4 female-female standoffs,20,1,2.86,0.143,2.86,https://www.aliexpress.com/item/1005007666134594.html?spm=a2g0o.productlist.main.3.5081foEAfoEAJ2&algo_pvid=ad2f14df-c4b5-40cf-b7a0-f89687197e0d&algo_exp_id=ad2f14df-c4b5-40cf-b7a0-f89687197e0d-1&pdp_ext_f=%7B%22order%22%3A%22366%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%212.97%212.92%21%21%212.11%212.07%21%40210311c217874507338341061e0cbf%2112000041718881018%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afae6f6dc%3Bm03_new_user%3A-29895%3BpisId%3A5000000211455027&curPageLogUid=yUFjbh4PQs01&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007666134594%7C_p_origin_prod%3A
M2x10 female-female standoffs,20,1,3.36,0.168,3.36,https://www.aliexpress.com/item/1005007666134594.html?spm=a2g0o.productlist.main.3.5081foEAfoEAJ2&algo_pvid=ad2f14df-c4b5-40cf-b7a0-f89687197e0d&algo_exp_id=ad2f14df-c4b5-40cf-b7a0-f89687197e0d-1&pdp_ext_f=%7B%22order%22%3A%22366%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%212.97%212.92%21%21%212.11%212.07%21%40210311c217874507338341061e0cbf%2112000041718881018%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afae6f6dc%3Bm03_new_user%3A-29895%3BpisId%3A5000000211455027&curPageLogUid=yUFjbh4PQs01&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007666134594%7C_p_origin_prod%3A
3M-backed rubber feet,20,1,0,0,0,Pramsu's House!
Case,1,2,0,0,0,Pramsu's House!
Shipping,1,1,20.39,20.39,20.39,
,,,,,,
,,,,Total,176.54,
